"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"01 Østfold";"1985M01";"Kapasitetsutnytting av senger (prosent)";23,4
"01 Østfold";"1985M01";"Kapasitetsutnytting av rom (prosent)";40,6
"01 Østfold";"1985M01";"Pris per rom (kr)";0
"01 Østfold";"1985M02";"Kapasitetsutnytting av senger (prosent)";26,9
"01 Østfold";"1985M02";"Kapasitetsutnytting av rom (prosent)";39,5
"01 Østfold";"1985M02";"Pris per rom (kr)";0
"01 Østfold";"1985M03";"Kapasitetsutnytting av senger (prosent)";31,7
"01 Østfold";"1985M03";"Kapasitetsutnytting av rom (prosent)";47,8
"01 Østfold";"1985M03";"Pris per rom (kr)";0
"01 Østfold";"1985M04";"Kapasitetsutnytting av senger (prosent)";30,4
"01 Østfold";"1985M04";"Kapasitetsutnytting av rom (prosent)";43,2
"01 Østfold";"1985M04";"Pris per rom (kr)";0
"01 Østfold";"1985M05";"Kapasitetsutnytting av senger (prosent)";34,7
"01 Østfold";"1985M05";"Kapasitetsutnytting av rom (prosent)";47,7
"01 Østfold";"1985M05";"Pris per rom (kr)";0
"01 Østfold";"1985M06";"Kapasitetsutnytting av senger (prosent)";49,9
"01 Østfold";"1985M06";"Kapasitetsutnytting av rom (prosent)";65,1
"01 Østfold";"1985M06";"Pris per rom (kr)";0
"01 Østfold";"1985M07";"Kapasitetsutnytting av senger (prosent)";52,6
"01 Østfold";"1985M07";"Kapasitetsutnytting av rom (prosent)";51,6
"01 Østfold";"1985M07";"Pris per rom (kr)";0
"01 Østfold";"1985M08";"Kapasitetsutnytting av senger (prosent)";41,4
"01 Østfold";"1985M08";"Kapasitetsutnytting av rom (prosent)";54,8
"01 Østfold";"1985M08";"Pris per rom (kr)";0
"01 Østfold";"1985M09";"Kapasitetsutnytting av senger (prosent)";33,7
"01 Østfold";"1985M09";"Kapasitetsutnytting av rom (prosent)";51,2
"01 Østfold";"1985M09";"Pris per rom (kr)";0
"01 Østfold";"1985M10";"Kapasitetsutnytting av senger (prosent)";40,9
"01 Østfold";"1985M10";"Kapasitetsutnytting av rom (prosent)";57,8
"01 Østfold";"1985M10";"Pris per rom (kr)";0
"01 Østfold";"1985M11";"Kapasitetsutnytting av senger (prosent)";38,2
"01 Østfold";"1985M11";"Kapasitetsutnytting av rom (prosent)";54,2
"01 Østfold";"1985M11";"Pris per rom (kr)";0
"01 Østfold";"1985M12";"Kapasitetsutnytting av senger (prosent)";27
"01 Østfold";"1985M12";"Kapasitetsutnytting av rom (prosent)";39,2
"01 Østfold";"1985M12";"Pris per rom (kr)";0
"01 Østfold";"1986M01";"Kapasitetsutnytting av senger (prosent)";30,8
"01 Østfold";"1986M01";"Kapasitetsutnytting av rom (prosent)";45,4
"01 Østfold";"1986M01";"Pris per rom (kr)";0
"01 Østfold";"1986M02";"Kapasitetsutnytting av senger (prosent)";30,7
"01 Østfold";"1986M02";"Kapasitetsutnytting av rom (prosent)";43,6
"01 Østfold";"1986M02";"Pris per rom (kr)";0
"01 Østfold";"1986M03";"Kapasitetsutnytting av senger (prosent)";30,3
"01 Østfold";"1986M03";"Kapasitetsutnytting av rom (prosent)";47
"01 Østfold";"1986M03";"Pris per rom (kr)";0
"01 Østfold";"1986M04";"Kapasitetsutnytting av senger (prosent)";30,6
"01 Østfold";"1986M04";"Kapasitetsutnytting av rom (prosent)";44,4
"01 Østfold";"1986M04";"Pris per rom (kr)";0
"01 Østfold";"1986M05";"Kapasitetsutnytting av senger (prosent)";29,8
"01 Østfold";"1986M05";"Kapasitetsutnytting av rom (prosent)";44,8
"01 Østfold";"1986M05";"Pris per rom (kr)";0
"01 Østfold";"1986M06";"Kapasitetsutnytting av senger (prosent)";41
"01 Østfold";"1986M06";"Kapasitetsutnytting av rom (prosent)";55,9
"01 Østfold";"1986M06";"Pris per rom (kr)";0
"01 Østfold";"1986M07";"Kapasitetsutnytting av senger (prosent)";57,7
"01 Østfold";"1986M07";"Kapasitetsutnytting av rom (prosent)";58
"01 Østfold";"1986M07";"Pris per rom (kr)";0
"01 Østfold";"1986M08";"Kapasitetsutnytting av senger (prosent)";46,1
"01 Østfold";"1986M08";"Kapasitetsutnytting av rom (prosent)";56,5
"01 Østfold";"1986M08";"Pris per rom (kr)";0
"01 Østfold";"1986M09";"Kapasitetsutnytting av senger (prosent)";36,9
"01 Østfold";"1986M09";"Kapasitetsutnytting av rom (prosent)";55,9
"01 Østfold";"1986M09";"Pris per rom (kr)";0
"01 Østfold";"1986M10";"Kapasitetsutnytting av senger (prosent)";36,9
"01 Østfold";"1986M10";"Kapasitetsutnytting av rom (prosent)";57,7
"01 Østfold";"1986M10";"Pris per rom (kr)";0
"01 Østfold";"1986M11";"Kapasitetsutnytting av senger (prosent)";35,6
"01 Østfold";"1986M11";"Kapasitetsutnytting av rom (prosent)";53,8
"01 Østfold";"1986M11";"Pris per rom (kr)";0
"01 Østfold";"1986M12";"Kapasitetsutnytting av senger (prosent)";33
"01 Østfold";"1986M12";"Kapasitetsutnytting av rom (prosent)";43
"01 Østfold";"1986M12";"Pris per rom (kr)";0
"01 Østfold";"1987M01";"Kapasitetsutnytting av senger (prosent)";32,3
"01 Østfold";"1987M01";"Kapasitetsutnytting av rom (prosent)";47,4
"01 Østfold";"1987M01";"Pris per rom (kr)";0
"01 Østfold";"1987M02";"Kapasitetsutnytting av senger (prosent)";34,6
"01 Østfold";"1987M02";"Kapasitetsutnytting av rom (prosent)";51,6
"01 Østfold";"1987M02";"Pris per rom (kr)";0
